type,properties/cp,properties/la_name,properties/road,properties/rcat,properties/easting,properties/northing,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,990145,Greenwich,The Village,BU,541590,177870,Point,0.037694631463071,51.48201439578193
Feature,990146,Merton,Cottenham Park Road,BU,523190,170110,Point,-0.229845642077701,51.416575880476444
Feature,990147,Newham,Balaam Street,BU,540520,182730,Point,0.024230239062108,51.5259531602077
Feature,990148,Lewisham,Brockley Road,BU,536580,175520,Point,-0.035317872211341,51.46212745405317
Feature,990149,Lambeth,Kings Avenue,BU,530100,174770,Point,-0.128819368302755,51.456912713685945
Feature,990150,Southwark,Albany Road,BU,532590,177720,Point,-0.091894892830964,51.482846241313815
Feature,990151,Islington,Liverpool Road,BU,531440,184050,Point,-0.106088890814332,51.540000405213256
Feature,990152,Hackney,Queensbridge Road,BU,533970,183750,Point,-0.069743281560812,51.536710092998774
Feature,990153,Tower Hamlets,Cable Street,BU,534860,180930,Point,-0.057997250420137,51.51115657350904
Feature,990154,Tower Hamlets,Cheshire Street,BU,534240,182360,Point,-0.066382062813314,51.524154798004986
Feature,990164,Tower Hamlets,East Ferry Road,UU,538230,179692,Point,-0.009949546399472,51.499217856374855
Feature,990328,Hillingdon,Fairfield Road,UU,506150,180500,Point,-0.471674881256806,51.51341038923643
Feature,990329,Hillingdon,Pump Lane,CU,510460,179630,Point,-0.409860727574759,51.50476519810305
Feature,990330,Hillingdon,Blossom Way,UU,506870,184210,Point,-0.460178126122457,51.546621574096314
Feature,990331,Hillingdon,Victoria Road,CU,510600,186310,Point,-0.405747828455771,51.564778459537806
Feature,990332,Sutton,Priory Road,CU,524000,164640,Point,-0.220112439693589,51.36723797749701
Feature,990333,Sutton,Banstead Road,CU,527190,163390,Point,-0.174758637664142,51.35529895678866
Feature,990334,Sutton,Oakhill Road,UU,525950,165060,Point,-0.191966342364187,51.37058390444513
Feature,990336,Kingston upon Thames,Kings Road,UU,518310,170090,Point,-0.299996342259694,51.417434699074235
Feature,990337,Merton,Queens Road,CU,525180,170850,Point,-0.20098189475233,51.42279095009509
Feature,990338,Croydon,Norfolk Avenue,UU,534130,162090,Point,-0.075637870757666,51.3420213892845
Feature,990339,Croydon,Headley Drive,CU,537970,163240,Point,-0.020094608114965,51.35143750660441
Feature,990340,Bromley,Crofton Avenue,UU,544440,165370,Point,0.073618014067517,51.36897109589342
Feature,990341,Bromley,Willow Grove,CU,543390,170600,Point,0.060655290257995,51.416233778716624
Feature,990342,Bexley,King Harolds Way,CU,548080,177440,Point,0.130911993498167,51.47649000920934
Feature,990343,Waltham Forest,Cherrydown Avenue,UU,537090,193050,Point,-0.021158130480187,51.61953299725802
Feature,990344,Waltham Forest,Gainsford Road,UU,536700,189400,Point,-0.028209738312959,51.586828308623375
Feature,990345,Waltham Forest,Oliver Road,CU,537670,186640,Point,-0.015298101800257,51.561790610953175
Feature,990346,Barking and Dagenham,Keir Hardie Way,UU,546350,184090,Point,0.108776301402455,51.53669379786474
Feature,990347,Barnet,Bridge Lane,UU,524526,188815,Point,-0.204045723741631,51.58439063201113
Feature,990348,Richmond upon Thames,Teddington Park Road,UU,516020,171710,Point,-0.332383564926347,51.432468080498765
Feature,990349,Richmond upon Thames,Church Road,CU,518360,174920,Point,-0.297664191799273,51.46083522299765
Feature,990350,Richmond upon Thames,Palewell Park,UU,520730,175330,Point,-0.263425804119318,51.46402000170676
Feature,990351,Islington,Drayton Park,CU,531360,185370,Point,-0.106749365525533,51.55188141473395
Feature,990352,Hackney,Fountayne Road,UU,534210,186840,Point,-0.065106877194519,51.5644212364487
Feature,990353,Tower Hamlets,Adelina Grove,UU,535080,181860,Point,-0.054472752421384,51.51946144816436
Feature,990354,Southwark,Wells Way,CU,533060,177540,Point,-0.085197946383469,51.48111835181412
Feature,990355,Wandsworth,St Anne's Hill,CU,526080,174220,Point,-0.186845300477877,51.45287863070437
Feature,990356,Ealing,Greenford Avenue,UU,515450,181030,Point,-0.337536769698931,51.51635170871054
Feature,990357,Hounslow,The Crossways,UU,512740,177060,Point,-0.377843919478076,51.48121606281453
Feature,990358,Harrow,Gordon Avenue,CU,516170,191610,Point,-0.323671032730631,51.61129417301825
Feature,990359,Enfield,Willow Road,CU,533300,197230,Point,-0.074279753072126,51.65800565298487
